context,answer
ما هو مبلغ الدعم الشهري للوالدين العاطلين عن العمل والطلاب وغير ذلك قبل الولادة؟,278 يورو
ما هو التأريخ الكربوني لأول مستوطنة بشرية في إستونيا؟,في بداية الألفية التاسعة قبل الميلاد
كيف أثرت هذه السياسة على معدل المواليد في إستونيا؟,كان له أثر إيجابي كبير على معدل المواليد في إستونيا، التي زادت بالفعل منذ عام 2001.
كيف هو مستوي حرية الصحافة، والحرية الاقتصادية والسياسية والتعليم؟,تتمتع بمستوى عال بالنسبة لحرية الصحافة، والحرية الاقتصادية والحرية السياسية، والتعليم.
كيف تصف التغييرات التي شهدها المجتمع الإستوني على مدى السنوات العشرين الماضية؟,أبرزها أن تكون على مستوى متزايد من الطبقات، وتوزيع الدخل العائلي.
ما هو أهم تغيير خلال نهاية العصر البرونزي وبداية العصر الحديدي في إستونيا؟,أكبر تغيير حصل هو الانتقال إلى الزراعة
كم كان معدل البطالة في يناير 2012؟,7.7٪
هل يتم تخفيض مبلغ الدعم بعد فترة الـ 18 شهرًا؟,تنخفض إلى 19 يورو في الشهر (للأطفال الأولين) و 58 يورو (لثلاثة أطفال أو أكثر)
ما هو الحد الأقصى للراتب الشهري لمبلغ الدعم؟,2157
كم عدد اللغات التي تتحدثها الناس في إستونيا؟,109 لغة
ما هو عدد المواطنين الإستونيين الذين يتحدثون لغة أصلية؟,67.3٪
ما هو مبلغ الدعم لطفل وحيد الوالد؟,الطفل من والد وحيد يتلقى مرتين مبلغ دعم الطفل
إلى أي عائلة لغة تنتمي الإستونية؟,تنتمي إلى اللغات الفينية البلطيقية والتي تتفرع من عائلة اللغات الأورالية
كم عدد السكان الذين هم من مواطني إستونيا؟,84.1٪
ما هو مبلغ الدعم لطفل من العسكريين؟,الطفل من أحد أفراد الجيش يستقبل خمسة أضعاف مجموع دعم الطفل
هل الإستونية مرتبطة باللغة الفنلندية؟,اللغة الإستونية ترتبط ارتباطا وثيقا باللغة الفنلندية والتي يتحدث بها على الجانب الآخر من خليج فنلندا
ما هي الدولة الموضحة في النص؟,إستونيا
ما هو ترتيب إستونيا في العالم لدعم الأمهات ذوات الأطفال وفقًا لتقرير عام 2011؟,18
هل اللغات الإستونية والفنلندية مرتبطة باللغات القريبة؟,اللغة الإستونية واللغة الفنلندية لا ترتبط بأي علاقة مع جيرانها الأقرب جغرافيا مثل السويدية واللاتفية، والروسية
هل كانت اللغة الروسية هي اللغة الرسمية في إستونيا خلال الحقبة السوفيتية؟,اللغة الروسية كانت لغة رسمية في إستونيا إبان العهد السوفيتي
ما هو عدد الأشخاص الذين قد اكتسبوا الجنسية الإستونية عن طريق التجنس عام 1992؟,"140,000"
ما هو مبلغ الدعم للأطفال في الحضانة؟,الأطفال في الأسر الحاضنة تتلقى 20 مرة من مجموع دعم الطفل
هل الإستونية لغة هندو أوروبية؟,ليست من أصل هندو-أوروبي
هل لا يزال الإستونيون يستخدمون اللغة الروسية؟,اللغة الروسية لا تزال تستخدم في إستونيا كلغة ثانية من قبل الإستونيين ذوي الاعمار من 40 إلى 70
ما هي مساحة إستونيا؟,45227 كيلومتر مربع (17462) ميل مربع
هل درست اللغة الإستونية كلغة ثانية إجبارية خلال الحقبة السوفيتية؟,اللغة الروسية كانت لغة رسمية في إستونيا إبان العهد السوفيتي، حيث كانت تدرس كلغة ثانية إلزامية خلال الحقبة السوفيتية
أين تقع استونيا؟,تقع على السواحل الشرقية لبحر البلطيق مباشرة عبر خليج فنلندا
ما هو تصنيف مناخ إستونيا وفقًا لتصنيف مناخ كوبن؟,الجزء الغربي لإستونيا يقع ضمن نطاق مناخ ساحلي مع شتاء معتدل في حين يقع الجزء الشرقي للبلاد ضمن نطاق مناخ قاري ورطب مع شتاء قاس.
كم عدد الاستونيين غير الإثنيين الذين يتحدثون الإستونية اعتبارًا من عام 2010؟,64.1٪
ما هي اللغة الرسمية في إستونيا؟,الإستونية
ما هي حدود استونيا مع روسيا ولاتفيا؟,الحدود البرية مع إستونيا ولاتفيا تمتد 267 كيلومترا من الحدود الروسية تمتد 290 كيلومترا
أين تقيم معظم الأقليات الناطقة بالروسية في إستونيا؟,يقيم معظمهم في العاصمة تالين والمناطق الصناعية في المناطق الحضرية في المؤسسة الدولية للتنمية فيروما
ما هو الدور الذي تلعبه التضاريس في مناخ إستونيا؟,تلعب التضاريس وخاصة المرتفعات بجنوب شرق إستونيا دورا هاما في توزيع وطول أمد الغطاء الثلجي
كيف يختلف مناخ المناطق الداخلية لإستونيا عن المناطق الساحلية؟,يتباين مناخ المناطق الداخلية ومناخ المناطق الساحلية بفعل التأثيرات البحرية لبحر البلطيق التي تدفئ المناطق الساحلية خلال فصل الشتاء وتلطف جوها بالخصوص خلال فصل الربيع.
ما هو نظام الحكم في إستونيا؟,جمهورية ديمقراطية برلمانية
ما هي النسبة المئوية للاستونيين الذين يمارسون معتقدات ديانات؟,31%
ما هو المناخ العام في إستونيا؟,يكون فصل الصيف معتدل السخونة (معدل درجة الحرارة خلال شهر يوليوز هو 15-17 °م) ويكون فصل الشتاء معتدل البرودة (معدل درجة الحرارة خلال شهر فبرايـر بين 3.5- و 7.5- °م)
ما هو النظام السياسي الذي كانت تتمتع به جمهورية كاراكالباك؟,الحكم الذاتي
من هو أحمد عمر؟,فنان بصري سوداني نرويجي وناشط LGBT يقوم بحملات من أجل المثليين.
متي ولد أحمد عمر؟,10 فبراير 1988
أين نشأ أحمد عمر؟,أسرة محافظة في السودان
متى انتقل أحمد عمر إلى النرويج؟,عام 2008
لماذا انتقل أحمد عمر إلى النرويج؟,كلاجئ سياسي من السودان
أين يقع متحف كونديه؟,شانتيه،إقليم واز،فرنسا
ما هو محتوى المجموعة الفنية في متحف كونديه؟,2500 رسمة
ما هو عدد المخطوطات الموجودة في المكتبة التابعة للمتحف؟,1500 مخطوطة ، 200 منها مزخرفة
من هو أرماند غاني؟,الابن المتبناة للملك لويس السادس عشر وماري أنطوانيت
كيف تم التبني؟,أنقذت الصبي، وأصبحت ماري أنطوانيت سعيدة للغاية بمظهره لدرجة أنها أخذته معها.
كيف كان الصبي يشعر حيال التبني؟,لم يكن الصبي يريد الذهاب ولم يرغب في أن يبتعد عن جدته
ماذا حدث لأرماند غاني خلال الثورة الفرنسية؟,. إنضم إلى الجيش الثوري، وقتل في نوفمبر 1792، في معركة جيماب.
متى كان من المتوقع إطلاق صندوق إيرادات الغاز الطبيعي في تنزانيا؟,أكتوبر 2014 أو فبراير 2015
ما هو صندوق إيرادات الغاز الطبيعي؟,صندوق الثروة السيادي المقترح لتنزانيا
ما هو الغرض من صندوق إيرادات الغاز الطبيعي في تنزانيا؟,سيدير الإيرادات المتأتية من بيع الغاز الطبيعي
ما هو احتياطي تنزانيا من الغاز الطبيعي كانون الثاني/يناير 2014؟,43.1 تريليون قدم مكعب
من سيدير صندوق إيرادات الغاز الطبيعي في تنزانيا؟,بنك تنزانيا
كم تريليون قدم مكعب من موارد الغاز الطبيعي القابلة للاسترداد اكتشفت في تنزانيا حتى عام 2010؟,25 إلى 30 تريليون قدم مكعب
من هو رئيس الاحتفالات ؟,) هو المضيف الرسمي لحفل أو حدث مسرحي أو مؤتمر أو تجمع أو برامج مماثلة
ما هو دور رئيس الاحتفالات في الأحداث المختلفة ؟,مجموعة واسعة من المهارات ، وغالبًا ما يتلقى أولئك الذين يخدمون في هذا الدور تدريبًا مكثفًا في المجالات التالية: كما يتابع منظمو حفلات الزفاف والمناسبات الخاصة تنسيق مناسباتهم
"ما هو فيلم ""دوبلكس""؟",هو فيلم كوميديا سوداء أمريكي
"من هو مخرج فيلم ""دوبلكس""؟",داني ديفيتو
"من هو مؤلف فيلم ""دوبلكس""؟",لاري دويل
"من هم أبطال فيلم ""دوبلكس""؟",بطولة بن ستيلر، درو باريمور، إيلين إيسيل، هارفي فايرستين وجستن ثيرو
"ما هو معنى مصطلح ""التدبير المنزلي"" في برمجة الكمبيوتر؟",إدخال قياسي أو روتين خروج مُلحق بمجموعة من التعليمات
ما هي بعض الأمثلة على أنشطة التدبير المنزلي في مجال البرمجة؟,إزالة السجلات التي أنشأها النظام نتيجة لأنشطة المستخدمين أو أرشفتها، أو حذف الملفات المؤقتة التي قد تشغل مساحة بخلاف ذلك
كيف يمكن تنفيذ التنظيف وإزالة الملفات الزائدة في الكمبيوتر؟,برنامج ضغط البيانات - «لتقليص» الملفات وتحرير مساحة القرص وبرامج إلغاء التجزئة -
ما الغرض من برامج ضغط البيانات وبرامج إلغاء التجزئة في سياق التدبير المنزلي في الكمبيوتر؟,لتنظيف مساحة تخزين قرص الكمبيوتر
ما هي كيرسانت (دي622)؟,مدمرة فرنسية من فئة خدمت في البحرية الفرنسية
ما هو تاريخ وضع كيرسانت في الماء؟,بتاريخ يونيو 1951،
ما هي العملية التي شاركت فيها كيرسانت إبان العدوان الثلاثي 1956؟,شاركت في عملية الفارس إبان العدوان الثلاثي
ما هو تاريخ تحديث كيرسانت الأول؟,الأولى من فبراير 1964 إلى أبريل 1965
ما هو تاريخ تحديث كيرسانت الثاني؟,في الفترة من ديسمبر 1970 إلى يونيو 1972.
أين تمركزت كيرسانت في ليلة 31 أكتوبر 1956؟,ميناء حيفا
كم مرة أطلقت كيرسانت النار على المدمرة المصرية إبراهيم الأول؟,بنحو 65 مرة
ماذا حدث للمدمرة المصرية إبراهيم الأول بعد مطاردتها؟,استسلمت في النهاية.
متى خرجت كيرسانت من الخدمة؟,خرجت كيرسانت من الخدمة في 23 مايو 1985
ماذا تحولت كيرسانت إلى بعد خروجها من الخدمة؟,سفينة هيكل رقم كيو638.
ماذا حدث لكيرسانت في مايو 1986؟,قبيل إغراقها كهدف بحري في مايو 1986 أثناء تمرين أجراه سرب المحيط الأطلسي
ما هي الفئة التي تنتمي إليها كيرسانت؟,مرافقة والغواصات
في أي مدينة تم بناء كيرسانت؟,لوريان
كم يبلغ الإنسان عدد سكان قرية فرزول؟,1200 نسمة
ما هي المسافة بين فرزول ومدينة حاسي بحبح؟,بـ 19 كم
ما هي فرزول ؟,إحدى قرى بلدية حاسي العش ولاية الجلفة ، الجزائر ، تقع شرق حاسي بحبح
ما هو ذعر النحاس ؟,بمثابة أزمة نقدية في بدايات الولايات المتحدة، في ظل رئاسة جورج واشنطن، نتجت عن التدهور وفقدان الثقة في العملات النحاسية. بعد الثورة الأمريكية
متى وقع ذعر النحاس في التاريخ الأمريكي؟,في عام 1789
"من كتب القصة والحوار لفيلم ""وهبتك حياتي""؟",وهير بكير وكتب الحوار محمد كامل عبد السلام
من هو المخرج لفيلم وهبتك حياتي ؟,زهير بكير
"ما هي السنة التي تم فيها إصدار فيلم ""وهبتك حياتي""؟",عام 1956
من هم نجوم فيلم وهبتك حياتي؟,صباح وشكري سرحان وعمر الحريري
"ما هي قصة فيلم ""وهبتك حياتي ؟",تبدأ الأحداث بموت زوجين، ويتفرَّق الأبناء بين الأسر، احدهم يعيش مع طبيب، والآخر مع حاوي وينغمس في الجريمة والأعمال الغير مشروعة
ما هي نظرية فوضى الكون ؟,هيَ واحدة من أحدث النظريات الرياضية الفيزيائية
ما هو المفهوم الرياضي والفيزيائي للشواش في نظرية الشواشة؟,تترجم أحيانا بنظرية الفوضى - التي تتعامل مع موضوع الجمل المتحركة (الديناميكية) اللاخطية التي تبدي نوعا من السلوك العشوائي يعرف بالشواش
كيف يحاول علماء الفيزياء استكشاف النظام الخفي في السلوك العشوائي باستخدام نظرية الشواشة؟,ينتج هذا السلوك العشوائي إما عن طريق عدم القدرة على تحديد الشروط البدئية (تأثير الفراشة) أو عن طريق الطبيعة الفيزيائية الاحتمالية لميكانيك الكم.
ما هي أهمية دراسة ظاهرة الفوضى وتطبيقاتها في الموائع والتنبؤات الجوية؟,أن تستكشف النظام الخفي المضمر في هذه العشوائية الظاهرة محاولة وضع قواعد لدراسة مثل هذه النظم مثل الموائع والتنبؤات الجوية والنظام الشمسي
ما هي معضلة الأجسام الثلاث ؟,هي مشكلة ديناميكية الفيزياء الرياضية المطبقة على الميكانيكا السماوية،
من كان أول عالم يبحث في مفهوم الشواشة ؟,جوزيف لوي لاغرانج وهنري بوانكاريه
كيف بدأت دراسة الشواشة في مجال التنبؤ بالطقس؟,كان يعمل على مشكلة التنبؤ بالطقس. على حاسوب مزود بنموذج لمحاكاة تحولات الطقس مؤلف من مجموعة من اثنتا عشرة معادلة لتشكيل الطقس
من هم جوزيف لوي لاغرانج وهنري بوانكاريه ؟,هي مشكلة ديناميكية الفيزياء الرياضية المطبقة على الميكانيكا السماوية، التي واجهها في المقام الأول علماء رياضيات
من كان أول عالم يبحث في مفهوم الشواشة ؟,إدوارد لورينتز
ما هي المشكلة التي كان يعمل عليها إدوارد لورينتز في عام 1960؟,بحث في الشواش كان عالم الأرصاد
كيف كان يستخدم إدوارد لورينتز الحاسوب لتحليل تحولات الطقس؟,"يقوم برنامج الحاسوب هذا بتوقع نظري للطقس.
في أحد أيام 1961، أراد رؤية سلسلة معينة من الحسابات مرة ثانية."
ما هو الاكتشاف الذي قام به إدوارد لورينتز عندما راجع سلسلة الحسابات المعينة؟,بدل من تكرار نفس النمط السابق، فقد حدث تباعد في النمط، ينتهي بانحراف كبير عن المخطط الأصلي للسلسلة الأصلية.
من هو أحمد عادل ؟,ملحن وموزع مصري
ما هو دوره في صناعة الموسيقى العربية؟,عرف من بين الموزعين الأبرز على صعيد الوطن العربي
متى بدأت مسيرة أحمد عادل في مجال التوزيع الموسيقي؟,بدأ مسيرته في مجال التوزيع الموسيقي عام 2001
مع أي فنان بدأت شهرة أحمد عادل بعد نجاحه في توزيع أغنية معينة؟,ألبوم لايلو لايلو للمطرب ادوارد،
كم عدد الفنانين الذين قام أحمد عادل بتوزيع أغانيهم ومن بينهم من؟,ليوزع بعد ذلك عشرات الأغاني لأكثر من 50 فناناً عربياً كان من تلك الأغاني «الجو جميل» و«فاكرني يا حب» للفنان عمرو دياب
ما هي بعض الأغاني والأناشيد الدينية التي قام أحمد عادل بتوزيعها؟,أشهرها انشودة «محمد نبينا» والتي أداها الفنان حمادة هلال كما وزّع أناشيد لكل من عامر منيب ومحمد فؤاد ومسعود كرتس، وأناشيد برنامج «رسالة من الله»
هل لديك معلومات عن أعماله في مجال شارات المسلسلات؟,شارات المسلسلات كمسلسل ابن أصول والموسيقى التصويرية لكل من مسلسلات الشحرورة والمكتوب على الجبين وبفعل فاعل وسيت كوم شريف ونص
من هو أرتيوم تريتياكوف؟,لاعب كرة قدم روسي
ما هو مركز اللاعب أرتيوم تريتياكوف؟,الهجوم
متي ولد أرتيوم تريتياكوف؟,2 مايو 1994
أين ولد أرتيوم تريتياكوف؟,أومسك في روسيا
ما هي الجامعة التقنية التشيكية في براغ؟,واحدة من أكبر الجامعات في الجمهورية التشيكية مع 8 كليات، وهي واحدة من أقدم معاهد التكنولوجيا في أوروبا الوسطى
متى تأسست الجامعة التقنية التشيكية في براغ؟,عام 1707
متي تحول معهد التعليم الهندسي إلى معهد براغ للبوليتكنيك؟,عام 1806
ما هي اللغات التي يمكن الدراسة بها في الجامعة التقنية التشيكية؟,130 برنامجا للدرجات العلمية باللغة التشيكية و 84 برنامجا باللغة الإنكليزية
كم كان عدد السكان في عام 1779؟,200 طالب
متي  صدر مرسوم من الدولة التشيكية بمنح ويلنبرغ وظيفة أول أستاذ جامعي للهندسة في أوروبا الوسطى؟,7 يناير 1718
متي سمحت ماريا تيريزا لهرغيت باستخدام مبنى كليمنتيوم ؟,سبتمبر 1776
متي انتقلت المدرسة إلى المبنى الجديد والأفضل؟,عام 1786
متي أنشئت كلية الهندسة؟,عام 1787
ما هي أهمية سفاجا كميناء في عمليات الاستيراد والتصدير؟,تعد سفاجا ميناء مصريا هاما في عمليات استيراد وتصدير البضائع والمعادن
ما هي الفوائد الصحية للرمال السوداء في سفاجا؟,وتتميز سفاجا بالرمال السوداء المفيدة في علاج بعض الأمراض الجلدية وأمراض المفاصل المزمنة كالصدفية والروماتويد
ما هي الأماكن السياحية الشهيرة في سفاجا لممارسة رياضة الغوص؟,أشهرها شرم النجا القريب من الشاطئ على بعد 40 كم من الغردقة وبضعة كيلومترات شماليّ سفاجا.
ما هي العلاقة بين سفاجا والمملكة العربية السعودية؟,تعتبر من أفضل الطرق الذي يربط بين مصر والمملكة العربية السعودية حيث أن المسافة بين ميناء سفاجا وميناء ضبا تستغرق 8 ساعات
ما هي أهمية ميناء سفاجا في نقل الأفراد إلى المملكة العربية السعودية خلال موسم الحج؟,لخدمة الحجاج وتسهيل رحلات الحج والعمرة من وإلى ميناء ضبا السعودي
ما هي الآثار التاريخية الموجودة في سفاجا؟,توجد بالمدينة آثار على استخدام الفراعنة للميناء منذ 4.000 سنة
ما هي الأنشطة الاقتصادية المهمة في سفاجا؟,تتميز مدينة سفاجا بتنوع أنشطتها فهي مشهورة بإنتاج الفوسفات وهي ميناء بحري ضخم يتم فيه تفريغ القمح واستقبال خام الألمونيوم والبضائع الأخرى
ما هي مدينة سفاجا ومحافظتها التابعة؟,مدينة مصرية، تتبع محافظة البحر الأحمر إدراياً
ما هي الأنشطة السياحية المتوفرة في سفاجا؟,تحتوي سفاجا على العديد من القرى السياحية كما تعتبر متخصصة في التدريب على رياضة الغوص وفي إقامة مسابقات الصيد والعديد من الأنشطة السياحية الترفيهية
ما هي أدونيس ؟,فرقة موسيقية لبنانية
علي يد من تأسست فرقة أدونيس ؟,أنطوني خوري (المغني الرئيسي) وجوي أبو جودي (عازف الغيتار)
من أنضم لفرقة أدونيس لاحقا؟,فابيو خوري (عازف الباس) ونيكولا حكيم (عازف الطبل)
متي نشرت الفرقة ألبومها الأول (ضو البلدية)؟,2011
متي نشرت الفرقة ألبومها الثاني (من شو بتشكي بيروت)؟,2013
متي نشرت الفرقة ألبومها الثالث (نور)؟,2017
متي نشرت الفرقة ألبومها الرابع (١٢ ساعة)؟,2019
متي نشرت الفرقة ألبومها الخامس (أعداء)؟,2021
متي تأسست فرقة أدونيس ؟,2011
من هو يحيى بن معاذ وما هي مناصبه الهامة في الدولة العباسية؟,والي الشام وأرمينية في زمن الخلافة العباسية.
لماذا أرسل الخليفة هارون الرشيد يحيى بن معاذ إلى الشام؟,لقمع زعيم قطاع الطرق أبي النداء.
كيف نجح يحيى بن معاذ في مهمته في الشام؟,أنجز يحيى هذه المهمة،
ما هي الأحداث الرئيسية التي شهدها حياة يحيى بن معاذ في الدولة العباسية؟,تولى قتال بابك الخرمي.
من خلف يحيى بن معاذ في مناصبه بعد وفاته؟,شغل أبناؤه أحمد وإسحاق وسليمان مناصب عليا فيما بعد في الدولة العباسية
ما هو مصير يحيى بن معاذ بعد موت الخليفة هارون الرشيد؟,بقي في خراسان مع ابن هارون الثاني المأمون
من هو مالك بن نبي؟,من أعلام الفكر الإسلامي في القرن العشرين
ما الطرق هي مشكلة المسلمين التي بحثها مالك بن نبي؟,"أول من أودع منهجًا مُحدّدا في بحث مشكلة المسلمين على أساس من علم النفس والاجتماع وسنة التاريخ"""
متى ولد مالك بن نبي ؟,5 ذو القعدة 1323 هـ
ما هي وظيفة والد مالك بن نبي؟,فكان والده موظفًا بالقضاء الإسلامي
كيف تفتح عقل مالك بن نبي على حالة بلاده؟,بدأ عقله يتفتح على حالة بلاده. وقد استقال من منصبه القضائي فيما بعد سنة 1928 إثر نزاع مع كاتب فرنسي لدى المحكمة المدنية.
ما هي الرحلة التي قام بها مالك بن نبي إلى فرنسا سنة 1930م؟,كانت رحلة علمية
ما هي الجهود التي بذلها مالك بن نبي في بناء الفكر الإسلامي الحديث؟,بناء الفكر الإسلامي الحديث وفي دراسة المشكلات الحضارية عموما متميزة، سواء من حيث المواضيع التي تناولها أو من حيث المناهج التي اعتمدها
ما هي أسس بحث مالك بن نبي في مشكلة المسلمين؟,علم النفس والاجتماع وسنة التاريخ
في أي مدينة ولد مالك بن نبي؟,مدينة قسنطينة شرق الجزائر
أين حصل مالك بن نبي على تعليمه الأولي؟,بالمدرسة الفرنسية
متى تخرج مالك بن نبي؟,سنة 1925
ما هي التجارب الجديدة التي بدأ بها مالك بن نبي بعد عودته؟,عمله في محكمة آفلو
ما هي الكتب التي أصدرها مالك بن نبي في قضايا العالم الإسلامي؟,أصدر كتابه الظاهرة القرآنية في سنة 1946 ثم شروط النهضة في 1948
من هو محمد رثعان سالم الرقاد؟,عمل الرقاد في مناصب حساسة في الدولة الأردنية، حيث عين كمدير لجهاز المخابرات العامة من عام 2008 وحتى عام 2011
متي  حصل على شهادة الثانوية العامة؟,عام 1976
أين اكمل تعليمه الثانوي ؟,مدرسة سحاب الثانوية
ما هي التحصيل العلمي لمحمد الرقاد؟,درجة البكالوريوس في التاريخ من كلية الآداب عام 1981 كما وتابع تعليمه لينال شهادة الدبلوم في الإدارة العليا
متى تم تعيين محمد الرقاد مديرًا لدائرة المخابرات العامة؟,29/12/2008
متي أستقال محمد الرقاد من منصبه؟,يوم الاثنين 17/10/2011م
أين ولد محمد رثعان سالم الرقاد؟,مشيرفة الرقاد
متي ولد محمد رثعان سالم الرقاد؟,5 سبتمبر 1965
متي توفي محمد رثعان سالم الرقاد؟,16 نوفمبر 2020
من هو جورج أليف؟,كان رسامًا شرقيًا روسيًا خدم في الجيش القيصري
ماذا صور جورج أليف في لوحاته؟,صورت لوحاته لحظات تاريخية كبرى خلال تلك الحقبة في فلسطين
أين استقر جورج أليف في النهاية؟,في الأردن
ما هو دور جورج أليف في الأردن؟,أول كلية فنية وعلم مجموعة من الفنانين المحليين الشباب
كيف يمكن تهجئة اسم عائلة أليف؟,Allief أو Aleev
أين ولد جورج أليف؟,روسيا
ما هو الدور الذي لعبه جورج أليف في الجيش القيصري؟,كحارس شخصي للقيصر نيكولاس الثاني من روسيا حتى اندلاع ثورة أكتوبر
ما هي اتفاقية المواد الكيميائية، 1990؟,هي اتفاقية منظمة العمل الدولية
متى تم توقيع اتفاقية المواد الكيميائية؟,6 يونيو 1990.
ما هو هدف اتفاقية المواد الكيميائية، 1990؟,أهمية حماية البيئة والجمهور العام وجميع العاملين من المواد الكيميائية
ما هي المواد التي يشملها نطاق اتفاقية  1990؟,المواد الكيميائية.
"ما هو المقصود بـ ""مواد كيميائية خطرة""؟",أي مادة كيميائية مصنفة على أنها خطرة بموجب المادة 6 أو توجد معلومات عنها تشير إلى أنها خطرة.
"ما هو معنى مصطلح ""المادة"" في السياق الذي يُستخدم في النص؟",يعني جسمًا له شكل محدد أو نمط عندما يتم تصنيعه أو يكون في شكل طبيعي، واستخدامه يعتمد كليًا أو جزئيًا على شكله أو نمطه.
ما هو دور ممثلي العمال وممثلي أصحاب العمل في تنفيذ اتفاقية المواد الكيميائية، 1990؟,يجب على كل عضو صياغة وتنفيذ ومراجعة دورية لسياسة محكمة للسلامة في استخدام المواد الكيميائية في مكان العمل.
ما هي قنطرة الحسن الثاني أو جسر مولاي الحسن؟,هو جسر قديم يربط بين مدينتي الرباط وسلا على مصب أبي رقراق، يبعد حوالي من المحيط الأطلسي، تم تشغيله من عام 1957 إلى عام 2011،
ما هو اسم الجسر الذي يربط بين مدينتي الرباط وسلا؟,قنطرة الحسن الثاني أو جسر مولاي الحسن
ما هي المدينتين التي يربط بينهما مولاي الحسن ؟,مدينتي الرباط وسلا
متى تم تشغيل الجسر ؟,عام 1957
متى تم استبدال الجسر؟,عام 2011
كم عدد الأرصفة التي كانت تحتويها قنطرة الحسن الثاني؟,أرصفة 2 × 2.
ما هي جمهورية ألمانيا الاتحادية؟,تتكون من ست عشرة ولاية تُدعى بشكل شائع وغير رسمي
كيف تم إنشاء جمهورية ألمانيا الاتحادية؟,من خلال توحيد الولايات الغربية (التي كانت في السابق تحت الإدارة الأمريكية والبريطانية والفرنسية) حيث قُسّمت في أعقاب الحرب العالمية الثانية.
ما هي الولايات التي انضمت إلى جمهورية ألمانيا الاتحادية بعد إعادة توحيد ألمانيا في عام 1990؟,جمهورية ألمانيا الديمقراطية (ألمانيا الشرقية
ما هي المسؤوليات الحصرية للهيئات الاتحادية في ألمانيا؟,القضايا مثل الشؤون الخارجية والدفاع
ما هي السلطات التي تحتفظ بها الولايات في ألمانيا؟,بسلطة تشريعية متبقية لجميع المجالات الأخرى
